,Table 13,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
1339,,,Westampton Township,1,0,0,0,0,0,0,0,1,0,8752
1340,,,Westfield3,4,4,0,0,0,0,0,0,0,5,30011
1341,,,West New York,1,0,1,0,0,0,1,1,0,0,54095
1342,,,West Orange,3,1,0,0,0,0,1,2,0,1,48071
1343,,,West Windsor Township,3,0,0,0,0,0,0,2,1,0,28277
1344,,,Willingboro Township,0,0,1,0,0,0,0,1,0,0,32124
1345,,,Winslow Township,1,0,0,0,0,0,1,0,0,0,38382
1346,,,Woodbridge Township,1,0,1,0,0,0,0,1,0,1,100884
1347,,,Woodbury,12,0,3,1,0,0,3,4,4,5,9746
1348,,Universities and Colleges,,29,15,7,0,0,0,,,,,
1349,,,Monmouth University,1,0,1,0,0,0,0,0,0,2,7049
1350,,,Montclair State University,6,3,0,0,0,0,3,1,0,5,23989
1351,,,Princeton University,4,0,0,0,0,0,0,1,1,2,8483
1352,,,Rutgers University:,,,,,,,,,,,
1353,,,Newark,1,0,0,0,0,0,0,0,1,0,15098
1354,,,New Brunswick3,12,12,6,0,0,0,7,7,9,6,56027
1355,,,The College of New Jersey,5,0,0,0,0,0,1,0,0,4,8792
1356,,State Police Agencies,,1,0,0,0,0,0,,,,,
1357,,,"State Police, Atlantic County",1,0,0,0,0,0,0,1,0,0,
1358,,Other Agencies,,1,0,0,0,0,0,,,,,
1359,,,New Jersey Transit Police,1,0,0,0,0,0,1,0,0,0,
1360,New Mexico,Total, ,21,3,3,0,0,1,,,,,
1361,,Cities,,20,3,3,0,0,1,,,,,
1362,,,Albuquerque,19,3,3,0,0,1,8,8,9,1,560235
1363,,,Belen,1,0,0,0,0,0,1,0,0,0,7061
1364,,Metropolitan Counties,,1,0,0,0,0,0,,,,,
1365,,,Bernalillo,1,0,0,0,0,0,,1,,,
1366,New York,Total,,153,286,69,1,1,13,,,,,
1367,,Cities,,117,235,51,0,0,12,,,,,
1368,,,Albany,5,4,3,0,0,0,2,3,6,1,98322
1369,,,Amherst Town,5,0,0,0,0,0,1,1,3,0,121343
1370,,,Binghamton,1,1,0,0,0,0,1,0,0,1,44876
1371,,,Buffalo,5,0,0,0,0,1,0,1,3,2,258219
1372,,,Colonie Town,1,0,1,0,0,0,1,0,1,0,79842
1373,,,DeWitt Town,0,0,1,0,0,0,0,1,0,0,25268
1374,,,Endicott Village,1,0,1,0,0,0,0,0,1,1,12754
1375,,,Hamburg Town,1,0,0,0,0,0,0,0,0,1,46490
1376,,,Hastings-on-Hudson Village,0,6,0,0,0,0,2,0,0,4,8030
1377,,,Hempstead Village,1,0,0,0,0,0,0,0,0,1,56059
1378,,,Hoosick Falls Village,0,1,0,0,0,0,0,0,1,0,3386
1379,,,Kingston,0,1,0,0,0,0,1,0,0,0,23077
1380,,,Larchmont Village,0,1,0,0,0,0,1,0,0,0,6200
1381,,,Monroe Village,1,0,0,0,0,0,1,0,0,0,8665
1382,,,Mount Vernon,3,1,0,0,0,0,2,1,1,0,68889
1383,,,Newburgh,0,0,1,0,0,0,0,1,0,0,28282
1384,,,New York,84,216,41,0,0,10,62,80,89,120,8523171
1385,,,Niagara Falls,1,0,0,0,0,0,1,0,0,0,48225
1386,,,Pelham Village,0,1,0,0,0,0,0,0,0,1,7036
