,state,city,race,religion,sexual orientation,disability,gender,gender identity,population,percent per pop
217,California,Ventura,4.0,0.0,0.0,0.0,0.0,0.0,111272.0,0.0035947947372205044
218,California,Victorville,3.0,0.0,0.0,2.0,0.0,0.0,123343.0,0.004053736328774231
219,California,Vista,0.0,0.0,1.0,0.0,0.0,0.0,102742.0,0.0009733117906990325
220,California,Walnut Creek,1.0,0.0,0.0,0.0,0.0,0.0,70587.0,0.0014166914587671951
221,California,West Covina,3.0,0.0,0.0,0.0,0.0,0.0,107806.0,0.0027827764688421797
222,California,West Hollywood,6.0,1.0,4.0,0.0,0.0,1.0,37478.0,0.03201878435348738
223,California,Williams,0.0,0.0,1.0,0.0,0.0,0.0,5380.0,0.01858736059479554
224,California,Yucaipa,1.0,0.0,0.0,0.0,0.0,0.0,54001.0,0.0018518175589340936
225,California,Yucca Valley,1.0,0.0,0.0,0.0,0.0,0.0,21895.0,0.004567252797442339
228,California,Fresno,1.0,0.0,0.0,0.0,0.0,0.0,26380.0,0.0037907505686125857
229,California,Northridge,1.0,2.0,1.0,0.0,0.0,0.0,41909.0,0.009544489250518982
230,California,Foothill-De Anza College,0.0,0.0,0.0,0.0,0.0,1.0,63210.0,0.0015820281601012498
231,California,Humboldt State University,1.0,1.0,0.0,0.0,1.0,0.0,9171.0,0.03271180896303566
232,California,San Francisco State University,0.0,1.0,1.0,0.0,0.0,0.0,33036.0,0.006054001695120475
233,California,State Center Community College District,0.0,0.0,1.0,0.0,0.0,0.0,60065.0,0.0016648630650129025
235,California,Davis,0.0,0.0,1.0,0.0,0.0,0.0,38778.0,0.002578781783485482
236,California,Los Angeles,1.0,1.0,1.0,0.0,0.0,0.0,46298.0,0.006479761544775153
237,California,San Diego,3.0,0.0,0.0,0.0,0.0,0.0,36785.0,0.008155498165012914
238,California,Santa Barbara,0.0,0.0,1.0,0.0,0.0,0.0,25833.0,0.0038710176905508457
273,Colorado,Aurora,8.0,2.0,0.0,0.0,0.0,0.0,324276.0,0.0030837928184632843
274,Colorado,Boulder,2.0,0.0,0.0,0.0,0.0,0.0,108380.0,0.0018453589223103894
275,Colorado,Brighton,2.0,0.0,2.0,0.0,0.0,0.0,40696.0,0.009828975820719482
276,Colorado,Canon City,2.0,0.0,0.0,0.0,0.0,0.0,16557.0,0.01207948299812768
277,Colorado,Centennial,2.0,1.0,2.0,0.0,0.0,0.0,111646.0,0.004478440786055927
278,Colorado,Colorado Springs,7.0,3.0,0.0,0.0,0.0,0.0,471124.0,0.002122583438754977
279,Colorado,Commerce City,1.0,0.0,0.0,0.0,0.0,0.0,57474.0,0.0017399171799422348
280,Colorado,Denver,15.0,3.0,8.0,1.0,0.0,3.0,720745.0,0.004162359780504894
281,Colorado,Fort Collins,4.0,0.0,1.0,0.0,0.0,0.0,168163.0,0.002973305661768641
282,Colorado,Golden,0.0,0.0,1.0,0.0,0.0,0.0,20768.0,0.0048151001540832055
283,Colorado,Grand Junction,2.0,0.0,0.0,0.0,0.0,0.0,62974.0,0.0031759138692158666
284,Colorado,Lafayette,1.0,0.0,1.0,0.0,0.0,0.0,28914.0,0.006917064397869544
285,Colorado,Lone Tree,1.0,0.0,0.0,0.0,0.0,0.0,13933.0,0.007177205196296561
286,Colorado,Longmont,2.0,0.0,0.0,0.0,0.0,0.0,95217.0,0.0021004652530535513
287,Colorado,Louisville,1.0,0.0,0.0,0.0,0.0,0.0,21545.0,0.004641448131817127
288,Colorado,Rifle,2.0,0.0,0.0,0.0,0.0,0.0,9711.0,0.020595201318092882
289,Colorado,Silverthorne,0.0,1.0,0.0,0.0,0.0,0.0,4775.0,0.02094240837696335
290,Colorado,Sterling,1.0,0.0,0.0,0.0,0.0,0.0,13928.0,0.007179781734635267
